sms_content,is_phishing,dataset_source,has_url,has_email,has_phone_number,url_string,domain,tld,subdomain,is_ip_address_url,redirected_url,url_subcategory,domain_age_days,domain_registrar,sender,sender_type,brand,message_category,sms_length,num_special_chars,num_digits,num_all_caps_words,phishing_keywords_count,sms_content_cleaned_for_nlp
"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,D1,True,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,107,8,20,0,5,urgent week free membership å£ prize jackpot txt word claim tc lccltd pobox ldnwarw
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,192,4,0,0,0,ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times
I HAVE A DATE ON SUNDAY WITH WILL!!,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,33,2,0,0,0,date sunday
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,D1,True,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,130,11,0,0,7,xxxmobilemovieclub use credit click wap link next txt message click xxxmobilemovieclubcomnqjkgighjjgcbl
Oh k...i'm watching here:),0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,20,6,0,0,0,oh kim watching
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,74,5,1,0,0,eh u remember spell name yes v naughty make v wet
Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,57,1,0,0,1,fine thatåõs way u feel thatåõs way gota b
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",1,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,104,8,23,0,0,england v macedonia dont miss goalsteam news txt ur national team eg england trywales scotland txtì¼ poboxoxwwq
Is that seriously how you spell his name?,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,40,1,0,0,0,seriously spell name
IÛ÷m going to try for 2 months ha ha only joking,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,47,0,1,0,0,iû÷m going try months ha ha joking
So Ì_ pay first lar... Then when is da stock comin...,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,46,7,0,0,1,ì pay first lar da stock comin
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,83,3,1,0,0,aft finish lunch go str lor ard smth lor u finish ur lunch already
Ffffffffff. Alright no way I can meet up with you sooner?,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,55,2,0,0,0,ffffffffff alright way meet sooner
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,137,7,0,0,1,forced eat slice im really hungry tho sucks mark getting worried knows im sick turn pizza lol
Lol your always so convincing.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,29,1,0,0,0,lol always convincing
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,124,6,0,0,0,catch bus frying egg make tea eating moms left dinner feel love
"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,68,7,0,0,1,im back amp packing car ill let know theres room
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,60,4,0,0,0,ahhh work vaguely remember feel like lol
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,126,4,0,0,0,wait thats still clear sure sarcastic thats x doesnt want live us
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,177,7,2,0,0,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheers
K tell me anything about you.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,28,1,0,0,0,k tell anything
For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,83,1,0,0,0,fear fainting housework quick cuppa
Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,151,2,1,0,3,thanks subscription ringtone uk mobile charged å£month please confirm replying yes reply charged
Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,108,7,2,0,0,yup ok go home look timings msg ì xuhui going learn nd may lesson
"Oops, I'll let you know when my roommate's done",0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,44,3,0,0,1,oops ill let know roommates done
I see the letter B on my car,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,28,0,0,0,0,see letter b car
Anything lor... U decide...,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,21,6,0,0,0,anything lor u decide
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,148,7,0,0,1,hello hows saturday go texting see youd decided anything tomo im trying invite anything
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,79,3,0,0,0,pls go ahead watts wanted sure great weekend abiola
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,121,15,0,0,0,forget tell want need crave love sweet arabian steed mmmmmm yummy
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,139,5,22,0,9,rodger burns msg tried call reply sms free nokia mobile free camcorder please call delivery tomorrow
WHO ARE YOU SEEING?,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,18,1,0,0,0,seeing
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,60,10,0,0,0,great hope like man well endowed ltgt inches
No calls..messages..missed calls,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,28,4,0,0,2,callsmessagesmissed calls
Didn't you get hep b immunisation in nigeria.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,43,2,0,0,0,didnt get hep b immunisation nigeria
"Fair enough, anything going on?",0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,29,2,0,0,0,fair enough anything going
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,65,2,0,0,0,yeah hopefully tyler cant could maybe ask around bit
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,141,7,0,0,1,u dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospitals weak suckers
What you thinked about me. First time you saw me in class.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,56,2,0,0,1,thinked first time saw class
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,110,11,0,0,0,gram usually runs like ltgt half eighth smarter though gets almost whole second gram ltgt
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,79,1,0,0,0,k fyi x ride early tomorrow morning hes crashing place tonight
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,275,16,0,0,2,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,115,5,0,0,1,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,68,6,0,0,2,know mallika sherawat yesterday find lturlgt
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",1,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,94,12,24,0,3,congrats year special cinema pass call c suprman v matrix starwars etc free bxipwe pm dont miss
"Sorry, I'll call later in meeting.",0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,31,3,0,0,1,sorry ill call later meeting
Tell where you reached,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,22,0,0,0,0,tell reached
Yes..gauti and sehwag out of odi series.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,37,3,0,0,0,yesgauti sehwag odi series
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,101,5,1,0,0,gon na pick burger way home cant even move pain killing
Ha ha ha good joke. Girls are situation seekers.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,46,2,0,0,0,ha ha ha good joke girls situation seekers
Its a part of checking IQ,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,25,0,0,0,0,part checking iq
"Sorry my roommates took forever, it ok if I come by now?",0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,54,2,0,0,1,sorry roommates took forever ok come
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,108,2,0,0,0,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",1,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,134,3,15,0,3,valued customer pleased advise following recent review mob awarded å£ bonus prize call
"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,114,10,0,0,1,today song dedicated day song u dedicate send ur valuable frnds first rply
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,85,10,21,0,2,urgent ur awarded complimentary trip eurodisinc trav acoentry å£ claim txt dis å£morefrmmob shracomorsglsuplt ls aj
"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",1,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,73,7,0,0,0,hear new divorce barbie comes kens stuff
I plane to give on this month end.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,33,1,0,0,0,plane give month end
Wah lucky man... Then can save money... Hee...,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,37,9,0,0,1,wah lucky man save money hee
Finished class where are you.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,28,1,0,0,0,finished class
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,44,1,0,0,1,hi babe im home wan na something xx
K..k:)where are you?how did you performed?,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,36,6,0,0,1,kkwhere youhow performed
U can call me now...,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,17,3,0,0,2,u call
I am waiting machan. Call me once you free.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,41,2,0,0,2,waiting machan call free
Thats cool. i am a gentleman and will treat you with dignity and respect.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,71,2,0,0,0,thats cool gentleman treat dignity respect
I like you peoples very much:) but am very shy pa.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,47,3,0,0,0,like peoples much shy pa
Does not operate after  &lt;#&gt;  or what,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,35,5,0,0,0,operate ltgt
Its not the same here. Still looking for a job. How much do Ta's earn there.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,72,4,0,0,0,still looking job much tas earn
"Sorry, I'll call later",0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,20,2,0,0,1,sorry ill call later
K. Did you call me just now ah? ,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,29,2,0,0,2,k call ah
Ok i am on the way to home hi hi,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,32,0,0,0,0,ok way home hi hi
You will be in the place of that man,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,36,0,0,0,0,place man
Yup next stop.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,13,1,0,0,0,yup next stop
"I call you later, don't have network. If urgnt, sms me.",0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,50,5,0,0,2,call later dont network urgnt sms
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,115,4,1,0,0,real u getting yo need tickets one jacket im done already used multis
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,140,4,0,0,1,yes started send requests make pain came back im back bed double coins factory got ta cash nitros
I'm really not up to it still tonight babe,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,41,1,0,0,0,im really still tonight babe
"Ela kano.,il download, come wen ur free..",0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,36,5,0,0,2,ela kanoil download come wen ur free
Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,59,3,0,0,0,yeah donû÷t stand close tho youû÷ll catch something
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,177,5,2,0,0,sorry pain ok meet another night spent late afternoon casualty means havent done stuffmoro includes time sheets sorry
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,134,2,1,0,0,smile pleasure smile pain smile trouble pours like rain smile sum hurts u smile becoz someone still loves see u smiling
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1,D1,False,False,True,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,107,2,22,0,6,please call customer service representative ampm guaranteed å£ cash å£ prize
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,100,3,3,0,0,havent planning buy later check already lido got show e afternoon u finish work already
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",1,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,113,6,5,0,6,free ringtone waiting collected simply text password mix verify get usher britney fml
Watching telugu movie..wat abt u?,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,30,3,0,0,0,watching telugu moviewat abt u
i see. When we finish we have loads of loans to pay,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,50,1,0,0,1,see finish loads loans pay
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,174,9,0,0,2,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u ham
Please don't text me anymore. I have nothing else to say.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,54,3,0,0,1,please dont text anymore nothing else say
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,79,2,0,0,0,okay name ur price long legal wen pick u ave x ams xx
I'm still looking for a car to buy. And have not gone 4the driving test yet.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,68,3,1,0,0,im still looking car buy gone driving test yet
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,152,6,1,0,1,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,175,8,0,0,1,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still says boston
Umma my life and vava umma love you lot dear,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,44,0,0,0,0,umma life vava umma love lot dear
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,93,2,0,0,0,thanks lot wishes birthday thanks making birthday truly memorable
"Aight, I'll hit you up when I get some cash",0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,41,2,0,0,1,aight ill hit get cash
